,Acceso minusválidos,Metros,Agua caliente,provincia,Exterior,Número de terrazas,Calefacción,Garajes,Tipo de suelo,Año de construcción,Tipo de fachada,Permite mascotas,Ascensor,Metros útiles,Puerta de seguridad,Aire acondicionado,Trastero,Orientación,Antigüedad,Circuito cerrado de seguridad,Dormitorios,Baños,Amueblado,Precio,Cocina equipada,Estado,Cal. energética:,Comunidad,Piscina,Armarios,Alarma,Plantas,Zonas verdes,Pareado,Pisos,Individual,Pista de tenis,Conserje,Pista de fútbol,Adosado,Pista de baloncesto,Consumo,Inquilinos
0,Si,50,Individual,alicante,Si,,Individual,,Gres,,Cemento,Si,,40,,Si,,,Entre 35 y 50 Años,,1,1,Si,85000,Si,Perfecto Estado,,,,,,,,,,,,,,,,,
1,,64,Individual,alicante,Si,1,Eléctrica,,Gres,1968,Cemento,,,58,Si,,Si,Sureste,Más de 50 años,,3,1,,105000,,Perfecto Estado,Si,"30,00 €",,,,,,,,,,,,,,,
2,Si,100,Individual,alicante,Si,1,,,Baldosa,1985,Ladrillo,,Si,85,Si,Si,,Sur,Entre 35 y 50 Años,Si,3,1,Si,110000,Si,Perfecto Estado,,,Si,1,Si,,,,,,,,,,,,
3,,110,Individual,alicante,Si,2,,,Tarima Flotante,,Cemento,,Si,95,Si,,,Norte,,Si,3,1,Si,135000,Si,,,,,1,,,,,,,,,,,,,
4,,127,Individual,alicante,Si,1,,,Terrazo,1979,Ladrillo,,Si,105,Si,,,Este,Mas de 25 Años,,4,2,Si,157500,Si,A reformar,Si,"30,00 €",,,,3,,,,,,,,,,,
5,,84,Individual,alicante,Si,2,Individual,1,Gres,1993,Cemento,,,74,,,,Oeste,Entre 20 y 25 Años,,4,2,,168000,Si,Perfecto Estado,Si,,Si,3,,2,Si,Si,,,,,,,,,
6,Si,108,Individual,alicante,Si,1,Eléctrica,1,Terrazo,1977,Ladrillo,,Si,96,Si,Si,,Suroeste,Mas de 25 Años,,4,2,,170000,,Perfecto Estado,Si,"45,00 €",,,,7,,,2,,,,,,,,
7,Si,95,Gas natural,alicante,Si,1,,,Tarima Flotante,1967,Ladrillo,,Si,87,Si,Si,Si,Este,Entre 35 y 50 Años,Si,3,2,,199000,Si,Perfecto Estado,,"50,00 €",Si,2,,,Si,,,,,,,,,,
8,Si,90,Individual,alicante,Si,1,Eléctrica,1,Tarima Flotante,1998,Otros materiales,Si,Si,70,Si,Si,,Oeste,Entre 20 y 25 Años,Si,2,1,Si,199000,Si,,,,,2,Si,,,,,,,,,,,,
9,Si,100,,alicante,Si,,Central,,Gres,2010,Ladrillo,Si,Si,90,Si,Si,,Oeste,Entre 10 y 15 Años,,3,2,Si,214900,Si,Perfecto Estado,,,,1,,4,,,,,,,,,,,
