,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de terreno,Superficie edificable,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Superficie total,Superficie mínima en venta,Acceso,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,120,,,,,,zaragoza,Si,1,,,Central,1,,,Terrazo,Si,,,,1976,,,,,,,,,,,Si,,,87,,,,,,,,Entre 25 y 35 años,,,,3,2,,,219900,,Perfecto Estado
1,,42,,,,Individual,,zaragoza,Si,,,,Individual,,,,Gres,,,,,,,,,,,,,,,,Si,,"10,00 €",,Si,,,,Sur,,,,,,,1,1,,,39990,Si,Perfecto Estado
2,,63,,,,,,zaragoza,,1,,,Individual,,,,Baldosa,,,,,,,,,,,,,,,,,,"50,00 €",55,,Si,,,,,,Más de 50 años,,,,2,1,Si,,47500,Si,A reformar
3,,55,4,,,Individual,,zaragoza,,,,,Gas Natural,,,,Parquet,,,,,,,,,,,,,,,,,,"33,00 €",48,,Si,,,Sur,,,,,,,1,1,,,77000,,Perfecto Estado
4,,60,,,,,,zaragoza,Si,,,,Eléctrica,,,,Baldosa,,,,,1965,,,Ladrillo,,,Si,,,,,,,"45,00 €",50,,,,,,,,Más de 50 años,,,,2,1,Si,,84900,,Perfecto Estado
5,,81,4,,,Central,,zaragoza,Si,1,,,Gas Natural,,,,Parquet,,,,,1964,,,Cemento,Si,2,,,,,,Si,,"50,00 €",66,Si,Si,,,Suroeste,,,Entre 35 y 50 Años,,Si,,3,1,Si,,89900,Si,A reformar
6,,61,,,,Individual,,zaragoza,Si,,,,Individual,,,,Tarima Flotante,,,,,,,,,,,,,,,,,,"20,00 €",53,Si,Si,,,,,,Más de 50 años,,,,2,1,,,104000,Si,Perfecto Estado
7,,67,4,,,Gas natural,,zaragoza,Si,1,,,Gas Natural,,,,Parquet,,,,,1988,,,,,8,,,,,,Si,,,50,,,,Si,Este,,,Mas de 25 Años,,,,3,1,,,105000,Si,Perfecto Estado
8,,57,,,,Gas natural,,zaragoza,Si,1,,,Gas Natural,,,,Parquet,,,,,2004,,,,Si,,,,,,,Si,,"53,00 €",53,Si,,,Si,Noroeste,,,Entre 20 y 25 Años,,,,2,1,Si,,113000,Si,Perfecto Estado
9,,72,,,,Individual,,zaragoza,Si,,,,Biomasa,,,,Parquet,,,,Si,,,,,,,,,,,,,,,63,,Si,,,Sur,,,Más de 50 años,,,,2,2,Si,,114900,Si,Perfecto Estado
10,,75,,,,,,zaragoza,,,,,,,,,Baldosa,,,,,1936,,,,,,,,,,,,,,70,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,115000,,Depende del precio
11,,55,3,,,,,zaragoza,Si,2,,,Gas Natural,,,,Tarima normal,,,,,2001,,1,,,10,,,,,,Si,,"69,00 €",40,,,,Si,,,,Entre 20 y 25 Años,,,,1,1,,,119900,Si,
12,Si,99,7,Si,,Individual,,zaragoza,Si,1,,,Central,,,,Terrazo,,,,,1976,,,Ladrillo,,,,,,,,Si,,"117,00 €",75,,,,Si,Sureste,,,Más de 50 años,,,,3,1,,,124000,,
13,,65,,,,Individual,,zaragoza,Si,,,,Eléctrica,,,,Porcelánico,,,,,1965,,,Ladrillo,,3,,,,,,,,"18,00 €",58,,Si,,,Este,,,Más de 50 años,,,,2,1,,,128000,Si,Perfecto Estado
