,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,183,,Si,,Individual,,guadalajara,Si,1,,,,,Gres,,,,Si,1901,,,Ladrillo,,,,,,,,175,,,,,Noroeste,,,Entre 35 y 50 Años,,,,4,1,,,39000,Si,
1,Si,140,,Si,,,,guadalajara,,,,,,,Otros,,,,Si,,,2,,,,,,,,,125,,,,Si,,,,Entre 15 y 20 Años,,,,3,1,Si,,59000,,
2,,52,,,,,,guadalajara,,,,,Gas Natural,,Parquet,,,,,2006,,,Ladrillo,,,,,,,,46,,,,,,,,Mas de 25 Años,,,,1,1,Si,,59000,Si,Depende del precio
3,,184,,Si,,Individual,,guadalajara,,,,,,,Gres,,,,,,,,Otros materiales,,,,,,,,,,,,,,,,Más de 50 años,Si,,,4,2,,,59000,,A reformar
4,,99,,Si,Si,Individual,,guadalajara,,,,,Individual,,Gres,,,,,,,2,Piedra,,,Si,,,,,,,,,,Noroeste,,,Más de 50 años,,,,3,1,Si,,60000,Si,Perfecto Estado
5,,330,,Si,,Individual,,guadalajara,Si,1,,,Gasóleo,1,Terrazo,,,,Si,1961,,,Ladrillo,,,,,,,,300,,,,,,,,Más de 50 años,,,,4,2,,,74900,Si,Depende del precio
6,,59,,Si,Si,Individual,,guadalajara,Si,1,Si,,Individual,,Otros,,,,,,Si,3,Madera,,,,,,,,50,,,,Si,,,,Entre 5 y 10 Años,,,,1,1,Si,,79000,,Depende del precio
7,,256,,,Si,,,guadalajara,,,Si,,Gasóleo,,Gres,,,,,1984,Si,,Piedra,,,,,,,,248,,,,,Oeste,,,Entre 35 y 50 Años,,,,7,2,,,85000,,
8,,72,,Si,,,,guadalajara,Si,,,,Propano,,Gres,,,,Si,2005,,2,Piedra,,,,,,,,65,,,,,Oeste,,,Entre 35 y 50 Años,,,,2,2,Si,,89000,,Perfecto Estado
9,,72,,Si,,,,guadalajara,,,,,Propano,,Gres,,,,Si,2005,Si,,Piedra,,,,,,,,65,,,,,Oeste,,,Entre 35 y 50 Años,,Si,,2,2,Si,,89000,Si,Perfecto Estado
10,,79,,Si,,,,guadalajara,Si,,,,Eléctrica,1,,,,,,2005,,2,Ladrillo,,,,,,,"25,00 €",72,,,,,Oeste,,,Entre 15 y 20 Años,,,,2,1,,,89000,Si,
