,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado,Salida de humos,
0,,64,,,,Individual,,madrid,Si,,,,,,Tarima normal,,,,,1962,,,,,,,,,,,60,,Si,,,,,,Más de 50 años,,,,2,1,,,106500,,Perfecto Estado,,
1,,88,5,Si,,,,madrid,Si,1,,,Eléctrica,,Terrazo,,,,,1978,,1,,Si,,,,Si,,"70,00 €",70,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,115000,,Perfecto Estado,,
2,,37,2,Si,,Individual,111 KW h/m² año,madrid,Si,,,,Eléctrica,,Gres,,,,,1965,,1,Ladrillo,,6,,,,,,34,Si,,,,Sur,,,Más de 50 años,,,,1,1,,18 Kg CO2/m² año,120000,Si,Perfecto Estado,,
3,,33,2,Si,,Individual,145 KW h/m² año,madrid,,,,,Eléctrica,,Gres,,,,,1965,,1,Ladrillo,,6,,,,,,30,Si,,,,Oeste,,,Más de 50 años,,,,1,1,,24 Kg CO2/m² año,120000,,Perfecto Estado,,
4,Si,75,4,,,Individual,,madrid,Si,1,,,Individual,,Sintasol,,,,,1976,,3,,,16,,,Si,,"70,00 €",69,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,2,1,,,125000,,A reformar,,
5,,61,,,,Individual,,madrid,Si,,,,,,Tarima Flotante,,,,,,,,,,,,,,,,57,,,,,,,,Más de 50 años,,,,3,1,,,127500,,Perfecto Estado,,
6,,101,,,,Gas natural,,madrid,Si,2,,,Gas Natural,,,,,,,1970,,,,,,,,,,,81,Si,Si,,Si,,,,Más de 50 años,,,,3,1,,,129000,,,,
7,,34,2,Si,,Individual,104 KW h/m² año,madrid,Si,,,,Eléctrica,,Gres,,,,,1965,,1,Ladrillo,,6,,,,,,31,Si,,,,Sur,,,Más de 50 años,,,,1,1,,17 Kg CO2/m² año,130000,,Perfecto Estado,,
8,Si,48,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,,Parquet,Si,,,,1969,,1,Ladrillo,,,,,Si,,,40,,,,Si,Sur,,,Más de 50 años,,,,1,1,,,135000,,A reformar,,
9,,51,,Si,,,,madrid,Si,,,,Eléctrica,,Tarima normal,,,,,,,,Ladrillo,,,,,,,,,Si,Si,,,,,,Entre 35 y 50 Años,,,,2,1,,,137260,Si,Perfecto Estado,,
