,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,,55,,Si,,,,murcia,Si,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,3,1,,,39000,,Perfecto Estado
1,,,97,,Si,,,,murcia,Si,,Si,,,,1,Tarima normal,,,,,,,,,,,,,Si,,,78,,,,Si,,,,Entre 20 y 25 Años,,,,3,2,,,179000,Si,Depende del precio
2,,Si,77,7,Si,,,,murcia,,2,Si,,,,,Gres,Si,,,,1988,Si,2,,,154,,,Si,,"86,00 €",62,,Si,,Si,,,,Entre 25 y 35 años,,,,2,1,,,199000,Si,Depende del precio
3,,,97,3,Si,,,,murcia,Si,1,,,,,1,Tarima normal,,,,,2007,,,Ladrillo,,,,,Si,,"44,00 €",78,Si,Si,,Si,,,,Entre 15 y 20 Años,,,,2,1,,,A consultar,Si,Perfecto Estado
4,,,156,2,Si,,,,murcia,Si,3,,,,,2,Porcelánico,,,,,2006,,3,Ladrillo,,,,,Si,,"94,00 €",120,Si,Si,,Si,Este,,,Entre 15 y 20 Años,,,,3,3,,,A consultar,Si,Perfecto Estado
5,,,52,2,Si,,,,murcia,Si,1,,,,,1,Gres,,,,,1992,,1,,,,,,,,"40,00 €",42,,,,,Este,,,Entre 25 y 35 años,,,,1,1,,,A consultar,Si,Depende del precio
6,,,53,,Si,,,,murcia,,,,,,,,,,,,,,,,Ladrillo,,,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,15000,,
7,,,130,,,,Individual,,murcia,Si,3,,,Individual,,,Gres,,,,,,,,,,,,,,,,,Si,Si,,,,,,Mas de 25 Años,,,,3,1,,,36000,Si,Depende del precio
8,,,80,,,,Individual,,murcia,Si,,,,Individual,,,Gres,,,,,1930,,,,,,,,,,,,Si,,,,,,,Más de 50 años,,,,1,1,,,40000,Si,Perfecto Estado
9,,,76,5,Si,,,,murcia,Si,,,,,,,,,,,,1971,,1,,,10,,,,,"20,00 €",63,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,47260,,A reformar
