,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,,91,,,Si,,,tenerife,Si,1,,,,,1,Otros,,,,,,Si,,Ladrillo,,,,,,,,90,,,,,,,,,,,,3,1,,,59000,,A reformar
1,,,70,3,,,,,tenerife,Si,1,,,,,,Baldosa,,,,,1963,,,Cemento,,1,,,,,,65,,,,,,,,Más de 50 años,,,,3,1,,,59900,,A reformar
2,,,93,,,,,,tenerife,Si,,,,,,,,,,,,1967,,,,,3,,,,,,89,,,,,,,,Más de 50 años,,,,4,1,Si,,75000,Si,
3,,,88,,,,Central,,tenerife,Si,1,,,Individual,,,,,,,,1971,,,Cemento,,,,,Si,,,82,,,,,,,,Mas de 25 Años,,,,3,1,,,90000,,A reformar
4,,,93,3,,,,,tenerife,Si,,,,,,,,,,,,1967,,,Otros materiales,,1,,,,,,89,,,,,,,,Entre 35 y 50 Años,,,2,3,1,Si,,105000,Si,A reformar
5,,,77,,,,,,tenerife,Si,,,,,,,,,,,Si,1982,,,,,,,,,,,64,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,109900,,A reformar
6,,Si,86,8,,,Individual,,tenerife,Si,,,,,,,Baldosa,,,,,1980,Si,,Ladrillo,,4,,,Si,,,82,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,115000,,A reformar
7,,,91,1,,,Individual,,tenerife,,,,,,,,Baldosa,,,,,1965,,,Cemento,,1,,,,,,86,,,,,,,,Más de 50 años,,,2,3,1,,,115000,,
8,,,87,,,,,,tenerife,Si,1,,,,,,Baldosa,,,,,1956,Si,,Ladrillo,,,,,,,,69,,,,,Sur,,,Más de 50 años,,,,3,1,,,119000,,A reformar
9,,,110,,,,,,tenerife,Si,,,,,,,,,,,,1968,,,,,,Si,,,,,100,,,,Si,,,,Entre 35 y 50 Años,,,,1,1,,,128000,,Perfecto Estado
10,,,110,,,,,,tenerife,Si,,,,,,,,,,,,1968,,,,,,Si,,,,,108,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,138000,,Perfecto Estado
11,,,110,,,,Individual,,tenerife,Si,,,,,,1,Baldosa,,,,,1997,,,Cemento,,,,,,,"37,00 €",83,,,,,,,,Mas de 25 Años,,,,3,1,,,146000,Si,
12,,,115,,,,,,tenerife,Si,,,,,,,,,,,,1968,,1,,,,Si,,,,,113,,,,Si,,,,Entre 35 y 50 Años,,,,2,2,,,148000,,Perfecto Estado
13,,,95,,Si,,,87 KW h/m² año,tenerife,Si,,,,,,,Baldosa,,,,,,,,,,,Si,,Si,,,74,,,,,Sur,,,Entre 25 y 35 años,,,,3,1,,20 Kg CO2/m² año,149500,Si,A reformar
14,,,116,,Si,,,,tenerife,Si,1,,,,,,,,,,,,,,Cemento,,,,,Si,,,108,,,,,,,,Más de 50 años,,,,4,2,,,150000,,Perfecto Estado
15,,,68,,,,Central,,tenerife,Si,1,Si,,,,1,Baldosa,,,,,2001,,1,Cemento,,,,,Si,,,56,,Si,,,,,,Entre 20 y 25 Años,,,,1,1,,,155000,Si,Perfecto Estado
16,,,116,1,,,,,tenerife,,,,,,,,Otros,,,,,,,,,,,,,Si,,,88,,,,,,,,Mas de 25 Años,,,,3,2,,,157000,,Depende del precio
17,,,100,1,,,Individual,,tenerife,Si,,,,,,1,Baldosa,,,,,2002,,,Cemento,,1,,,Si,,,91,,,,,,,,Entre 20 y 25 Años,,,,3,2,,,159000,Si,Perfecto Estado
18,,,105,1,Si,,Central,,tenerife,Si,,,,,,1,Marmol,,,,,1992,,1,Cemento,,,,,Si,,,99,,,,Si,,,,Mas de 25 Años,,,,3,2,,,165000,Si,Depende del precio
19,,,110,,,,,,tenerife,Si,,,,,,,Otros,,,,,,,,,,,,,Si,,,95,,,,,,,,Entre 20 y 25 Años,,,,3,2,Si,,165000,,Perfecto Estado
20,,,112,,,,Individual,,tenerife,Si,,,,,,1,,,,,,1996,,1,Piedra,,,,,,,,90,,,,,Suroeste,,,Entre 20 y 25 Años,,,,3,2,,,179000,Si,Perfecto Estado
21,,,200,,,Si,,,tenerife,,,,,,,,Otros,,,,,2004,,,Cemento,,,,,,,,166,,,,,,,,Entre 20 y 25 Años,,,,1,1,,,190000,,A reformar
22,,,120,,,,,,tenerife,Si,1,,,,,,,,,,,,,,,,,,,Si,,,95,,,,,,,,Entre 20 y 25 Años,,,,4,2,Si,,209900,,Perfecto Estado
23,,Si,130,6,,,Central,,tenerife,,1,,,,,,Baldosa,,,,,1993,Si,2,Cemento,,2,,,Si,,,120,,,,,,,,Entre 20 y 25 Años,,,,2,1,,,250000,,Perfecto Estado
