,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
0,,,80,1,,,,,valencia,Si,1,,,,,,Mosaico Hidráulico,,,,,1982,Si,,Mono Capa,,4,,,,,,70,,Si,,Si,Oeste,,,Entre 35 y 50 Años,,,,3,1,,,30000,,A reformar
1,,,82,5,,,,,valencia,,1,,,,,,,,,,,1970,,,,,10,,,,,,75,,Si,,,Sureste,,,Más de 50 años,,,,3,1,Si,,83000,Si,
2,,,92,4,,,Individual,,valencia,Si,,,,,,,Terrazo,,,,,1969,,1,Cemento,,,,,,,"20,00 €",86,,,,,Oeste,,,Más de 50 años,,,,4,1,,,120000,,A reformar
3,,,99,2,Si,,Gas natural,,valencia,Si,2,,,Individual,,,Porcelánico,,,,Si,1910,,2,Cemento,,2,,,,,,,Si,,,Si,Sur,,,Más de 50 años,,,,4,3,,,125000,,Perfecto Estado
4,,Si,280,,,,Gas Butano,,valencia,Si,1,,,,,,,,,,Si,1910,Si,,,,,Si,,,,,200,,Si,,,Sur,,,Más de 50 años,,,,2,2,Si,,130000,Si,Depende del precio
5,,,70,4,Si,,Individual,,valencia,Si,,,,,,,Tarima normal,,,,,1961,,,Cemento,,16,,,,,,62,,,,,Este,,,Más de 50 años,,,,3,1,,,140000,Si,Perfecto Estado
6,,Si,117,6,,,,,valencia,Si,1,,,,,,,,,,,1959,,1,,,20,Si,,Si,,,107,,,,,Este,,,Más de 50 años,,,,3,,,,140000,,Depende del precio
7,,Si,115,,Si,,Gas natural,,valencia,Si,2,,,Gas Natural,,,Terrazo,,,,,1993,,3,Ladrillo,,,,,Si,,,106,,Si,,,Noroeste,,,Entre 20 y 25 Años,,,,4,2,,,169900,Si,Perfecto Estado
8,,Si,113,5,,,Individual,,valencia,Si,,,,,,,,,,,,2000,,2,Ladrillo,,,Si,,Si,,,103,,Si,,Si,Este,,,Entre 20 y 25 Años,,,,4,2,,,190000,Si,Perfecto Estado
9,,,107,4,,,Individual,,valencia,Si,,,,Individual,,,Gres,,,,,1973,,1,Ladrillo,,16,,,Si,,"100,00 €",100,,Si,,,Suroeste,,,Más de 50 años,,,,3,2,,,190000,,Perfecto Estado
10,,Si,106,,,,Individual,,valencia,Si,,,,,,,,,,,,1972,,,Ladrillo,,,,,Si,,,100,,Si,,,Noreste,,,Más de 50 años,,,,4,2,,,210000,Si,Depende del precio
11,,Si,106,,,,Individual,,valencia,Si,,,,,,,,,,,,1956,,,,Si,,,,Si,,,99,,Si,,,Este,,,Más de 50 años,,,,4,1,,,220000,,Depende del precio
12,,,200,2,,Si,,,valencia,Si,2,Si,,,,3,Gres,,,,,1993,Si,3,Mono Capa,Si,1,,,,,,160,Si,Si,,,Noreste,,,Mas de 25 Años,,,,7,3,Si,1 Kg CO2/m² año,220000,Si,Depende del precio
13,,Si,117,,,,Gas natural,,valencia,Si,2,,,Eléctrica,,,Gres,,,,,1981,,,Ladrillo,,,,,Si,,"27,00 €",114,Si,Si,,,Suroeste,,,Mas de 25 Años,,,,4,2,Si,,225000,Si,Perfecto Estado
14,,,96,8,Si,,Central,,valencia,Si,,,,,,,Terrazo,,,,,1977,,,Ladrillo,,18,,,Si,,,86,,,,,Norte,,,Entre 35 y 50 Años,,,,3,2,,,225000,Si,Perfecto Estado
15,,Si,86,,Si,,Individual,,valencia,Si,,,,,,,Gres,,,,,2004,,2,,,,,,Si,,,80,Si,Si,,,,,,Entre 15 y 20 Años,,,,2,2,,,229900,,Perfecto Estado
16,,Si,120,,,,,,valencia,Si,,,,,,,,,,,,1975,,,,,,,,Si,,,111,,,,,Sur,,,Entre 35 y 50 Años,,,,3,2,,,230000,Si,
17,,Si,94,7,Si,,Gas natural,,valencia,Si,1,,,Central,,1,Gres,,,,,1983,,1,Ladrillo,,,,,Si,,,89,,Si,,,Noroeste,,,Mas de 25 Años,,,,3,2,,,237000,Si,Perfecto Estado
18,,Si,87,9,Si,,,,valencia,Si,,,,,,,Tarima normal,,,,,1966,,,Ladrillo,,35,,,Si,,,77,,Si,,,Suroeste,,,Más de 50 años,,,,2,2,,,240000,Si,Perfecto Estado
19,,,76,2,Si,,Individual,,valencia,Si,1,,,Individual,,,Mosaico Hidráulico,,,,,1920,,,Cemento,,4,,,,,"30,00 €",70,,Si,,,Noroeste,,,Más de 50 años,,,,1,1,,,240000,Si,Perfecto Estado
20,,Si,90,1,,,,,valencia,Si,1,Si,,Individual,,2,Gres,Si,,,,2004,Si,3,Mono Capa,,4,,,,,"100,00 €",75,Si,Si,,Si,Este,,,Entre 20 y 25 Años,,,,3,2,Si,,240000,Si,Perfecto Estado
21,,,62,5,,,Central,,valencia,Si,1,,,Eléctrica,,,Parquet,,,,,1963,,,,,,,,,,,58,Si,Si,,,Este,,,Más de 50 años,,,,3,1,Si,,250000,Si,Perfecto Estado
22,,Si,90,1,,,,,valencia,Si,2,Si,Si,,,1,Gres,,,,,2005,Si,3,Mono Capa,,1,,,Si,,"200,00 €",70,Si,Si,Si,Si,Este,,,Entre 15 y 20 Años,,Si,,3,2,Si,,270000,Si,Perfecto Estado
23,,,317,,,,Individual,,valencia,Si,,,,Individual,,1,Parquet,,,,,,,3,,,,,,Si,,,300,Si,Si,,Si,Noroeste,,,Menos de 5 Años,,,,3,2,Si,,350000,Si,Perfecto Estado
